Weight(kg),t1,t2,t3,t4,t5,t6,c1,c2,c3,c4,c5,c6,ht1,ht2,ht3,ht4,hs1,hs2,hs3,hs4,hi1,hi2,hi3,hi4,expected_glucose,t-1,t-2,t-3,rtg0,rtg1,rtg2,rf0,liver0,liver1,liver2,peripheral0,peripheral1,peripheral2
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,14.6990802024473,14.711447866849301,14.9986566040275,15.2989794883133,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,14.946558976663,14.6990802024473,14.711447866849301,14.9986566040275,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,15.364953590989499,14.946558976663,14.6990802024473,14.711447866849301,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,15.8897808520646,15.364953590989499,14.946558976663,14.6990802024473,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,16.474960631774,15.8897808520646,15.364953590989499,14.946558976663,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,17.0880448200608,16.474960631774,15.8897808520646,15.364953590989499,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,17.6546887789062,17.0880448200608,16.474960631774,15.8897808520646,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,17.9424102103221,17.6546887789062,17.0880448200608,16.474960631774,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,17.8921631226228,17.9424102103221,17.6546887789062,17.0880448200608,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,800,1000,1200,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,17.6119336587631,17.8921631226228,17.9424102103221,17.6546887789062,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
