patient0,patient1,patient2,patient3,patient4,patient5,patient6,patient7,patient8,patient9,patient10,patient11,patient12,patient13,patient14,patient15,patient16,patient17,patient18,patient19,patient20,patient21,patient22,patient23,patient24,patient25,patient26,patient27,patient28,patient29,patient30,patient31,patient32,patient33,patient34,patient35,patient36,patient37,patient38,patient39
0.6478201979621623,0.4126087362321835,0.5712982190889276,-0.06896488360223237,0.5245432256223025,0.6159886440146622,0.00937045886127342,0.1481982468298857,0.3693218477904946,0.33550885882852605,0.4768439391356939,0.4251200280133018,0.4796790290951864,-0.05744625864437201,-0.05744625864437201,0.6613468960651387,0.28333238369896707,0.4047785411180643,0.2337366412844855,0.6377516201988251,0.13450398470426367,-0.126694579372263,0.2573762670212238,0.4135668387710653,0.23378981409369265,0.4155606594163984,0.646295571880027,0.4570679090896564,-0.04784402806157192,0.3934453004343066,0.4116751078909506,0.058269510685171395,0.5599700525370841,0.4321340351107192,0.39525828476794983,0.5995279909680717,0.5195903850605796,0.29979570097368824,0.4816245631435435,0.5853466486244611
0.6080130411594697,0.3692500332305235,0.5241517835065037,-0.12316000539341304,0.47137007822026566,0.5752227909983635,-0.006530923912086467,0.08258475182133561,0.3172837683291328,0.295663289401388,0.39830505792841225,0.3536900453792474,0.4294783895232892,-0.08815241797149265,-0.08815241797149265,0.6238534748237953,0.21763481704671198,0.3587823215273556,0.16716676053777074,0.5903985377499062,0.039230261940471016,-0.16617911911104302,0.17203019396520453,0.36853767758343486,0.1575467788833782,0.3855032439693924,0.5859861680648132,0.4005140752561684,-0.1346670144784315,0.34570164397811176,0.36963150323535954,0.017140394742666123,0.5050147297999614,0.37877757487601893,0.348048603135468,0.5634704321106483,0.4770042896235352,0.21521887442170756,0.4412155991643014,0.5423643704042492
0.5679721283349642,0.32999033139761863,0.4761185489920963,-0.16123346132418787,0.41618262336731143,0.535730163916616,-0.005777949355658966,0.028186008947069754,0.26480153186366884,0.26272718432366354,0.3197647903876196,0.2855840794466128,0.381386492636445,-0.09288666306634462,-0.09288666306634462,0.5848664370492449,0.16039024202125293,0.32154992228512663,0.10518893606912295,0.5439980999324898,-0.049183100680892496,-0.1763061253100064,0.09031165676640626,0.32529028033313034,0.08807479596569197,0.36862765373787043,0.5234288946042702,0.3468427877700337,-0.2049633357226183,0.3018854560462619,0.33359285641655656,-0.0007935328235997942,0.4512872869615292,0.3276750089934463,0.30846046495865537,0.527590418755503,0.43551888926905596,0.13060701770009955,0.40797975986963725,0.5002068193324015
0.5277711831484784,0.29543901980429355,0.42723346740650026,-0.18298456027880453,0.3599988601259386,0.4980877117799444,0.013974805184909777,-0.015394505887927961,0.21324829270828935,0.23626430236011078,0.24196693489295765,0.22071223671342713,0.33557863793641135,-0.07415050264871195,-0.07415050264871195,0.5449671628664092,0.11167460270605703,0.2930362283601202,0.04753678372693508,0.4986984397694573,-0.12841430059847614,-0.15801046645500436,0.012071202917353698,0.2868193234177834,0.028310339246640715,0.3625015182501792,0.4614232974130114,0.2998496377291552,-0.25751620690843213,0.26141596304832543,0.3014233933702876,0.0035889878755132544,0.3988729441148886,0.2792833054048953,0.2765476309647479,0.4912270321362677,0.39524773368567667,0.0476759976636161,0.38221785325027396,0.4584878746969748
0.48767727395001353,0.2647135837938078,0.37794115749272583,-0.1912143735765776,0.30356475031298963,0.462484380322941,0.042340594883088924,-0.04949931141407994,0.16299376655530354,0.2156304666300065,0.16535110309124776,0.15881810344343358,0.2919896034594354,-0.03632610526014138,-0.03632610526014138,0.5046700016313689,0.07125171079827158,0.2721995719845273,-0.005892525056693978,0.45437479144284476,-0.19614022146865023,-0.11365136604686173,-0.06336318537118124,0.25555619973950194,-0.018506465657572767,0.363552517241023,0.4012583164175996,0.2592499208076221,-0.291794349283578,0.22373929982813218,0.27127978850863405,0.02821406155179325,0.34795992662166253,0.2336015513199507,0.251775028069306,0.45367280474187244,0.3558198838209956,-0.032162286155293,0.36373070768726207,0.4165674155958382
0.4480426426169773,0.2365621132203742,0.32866106345979673,-0.18842272828210918,0.24795932527899855,0.42853955465652993,0.07559480140222956,-0.07388772009914923,0.11481982674229285,0.19904069855580236,0.0902378423531081,0.09953943359639977,0.2506228537054957,0.014090459349154517,0.014090459349154517,0.4647432786846168,0.03861152293561328,0.25749284607529266,-0.05436174560192869,0.41108435614176,-0.2509961396317714,-0.047329177703410844,-0.13649712048893473,0.23201162688237248,-0.050545049750242814,0.36804867221387666,0.3426036193828748,0.22412115740564428,-0.3082342833358753,0.1882954092235879,0.2413553010534606,0.069641788748126,0.29900645768146866,0.19098757494256335,0.23368695228860045,0.4144571089850069,0.3168289946010362,-0.10803564521516884,0.35153695472245033,0.3745994482055603
0.4090528571989937,0.2099691624066863,0.2793268307969001,-0.17638355331108246,0.1946044570620986,0.3954299567071826,0.10825779045608916,-0.08837318995981691,0.07045116410872765,0.18382662759135787,0.016996410875878713,0.04270592410414021,0.2117247586426655,0.06864176031115396,0.06864176031115396,0.4261770081647814,0.01341354421532267,0.2471207380048725,-0.09657173108164283,0.36881147252613916,-0.2930588648385351,0.034614414875083405,-0.20742330628637312,0.21411911037841538,-0.06862801317646176,0.3723346763376551,0.2845291574969352,0.1930911415024936,-0.30873386903375954,0.1546430099002603,0.2092622161200669,0.12278480071413432,0.2525781173383545,0.15225272924214972,0.22224495622559884,0.3735314564326923,0.27723205357096375,-0.17926645411592781,0.3437563891770442,0.33410818163407646
0.37045633435474556,0.1842205524105274,0.22941693013724074,-0.15565984980670097,0.14501552417202915,0.36187576009336025,0.13697017808142853,-0.0927197539129159,0.031888894521154516,0.16918332359242166,-0.05394545439205916,-0.011454137481569447,0.1754375478973468,0.11758236077513427,0.11758236077513427,0.3899571032568561,-0.0035345523966414357,0.2392030619597071,-0.1308359599369467,0.3274724899006229,-0.32290659375584335,0.12294446187168605,-0.275735433392606,0.19795908592131414,-0.07613237329368698,0.3730311965379518,0.2265038830617563,0.16432243620148,-0.29730461107074024,0.1227007464136114,0.17255468284255704,0.1805557283065748,0.2090636056138362,0.11824336391079264,0.21739711274525722,0.33124098363349624,0.23717165154967965,-0.24469063131993657,0.33774785193158025,0.29629502236408095
0.3314061481816918,0.1588174195945741,0.17810967357417412,-0.12738846121376898,0.10041851885795605,0.32646652570880297,0.1586331264195807,-0.0871973664539397,0.0007556579925728662,0.15410876383114622,-0.12203320580040472,-0.06233137906602845,0.1416335333385249,0.15105614798227912,0.15105614798227912,0.35675947248877843,-0.01149778500237535,0.23188469715737253,-0.15552500921399418,0.28698066195354077,-0.3414775996586203,0.20532533791068253,-0.3405961110359409,0.1794579180411704,-0.07800767142742773,0.3673011724860978,0.1686524894342989,0.1355792089785928,-0.28062721598452917,0.09235705088803972,0.12941462791448835,0.2338380912487886,0.16877659164358572,0.0891862730445142,0.21839751491647277,0.28827487228195064,0.1987384607602243,-0.30269912866235293,0.3303925675888039,0.2614428886740796
0.2908941786848684,0.13316230904738804,0.12444317439447246,-0.09438700741342868,0.06118483638909396,0.2884538207502362,0.17242004990122461,-0.0725100914485426,-0.022817351071729716,0.13695947119350285,-0.18655860422496084,-0.10911254573790026,0.11036410264720628,0.16055570671223102,0.16055570671223102,0.3265487043890123,-0.010248866029542912,0.22330563147798818,-0.17084338845095506,0.24740648552728142,-0.3500751011379918,0.2691466038118716,-0.4011491033430038,0.15620577855868326,-0.07936716881127302,0.3527880333014846,0.11173168374518384,0.10527220600366813,-0.2676253980505064,0.06340394254755992,0.07893201669857382,0.2733447416743221,0.1321030003344943,0.06394476444259929,0.22331472785069442,0.2457408147742018,0.1637493254570149,-0.3519288612480647,0.3186592511830895,0.22925331767743704
